programmes,desc,target,link,org
4PM Akademi Bahas,Bahas 4PM is the national Malay-language pre-university debating competition which has been well received among the national oratorical competitions since 1993.,Pre-University,http://4pm.org.sg/,Persatuan Persuratan Pemuda Pemudi Melayu (Malay Youth Literary Association)
4PM bITE,"4PM's BESTARI ITE or bITE is a school social work programme tailored specifically for ALL students from the Institute of Technical Education (ITE). It encompasses activities that includes interactive group work sessions, workshops, casework & counselling, public education talks, focus group discussions, team building activities, mentoring scheme, creative thinking programmes, entrepreneurial thinking programmes, community service projects and  service learning programmes.",ITE students,http://4pm.org.sg/,Persatuan Persuratan Pemuda Pemudi Melayu (Malay Youth Literary Association)
4PM Frenz Mentoring Programme,"4PM FRENZ Mentoring Programme is initiated with the aim to help youth build resilience, develop character and complete their post-secondary education, is a mentoring and school social work programme for ITE students.",ITE students,http://www.4pm.org.sg/,Persatuan Persuratan Pemuda Pemudi Melayu (Malay Youth Literary Association)
4PM Ramadan on Wheels,"4PM Ramadan on Wheels (ROW) began in 2001 when 4PM recognized the difficulties faced by elderly and needy families in collecting provisions during the monthly food ration distributions. Tapping on 4PM’s large pool of volunteers, ROW began as a ration distribution charity effort during the Islamic calendar month of Ramadan to send food provisions directly to beneficiaries’ homes.","Singapore citizen or PR with a monthly household income not exceeding $1,500 or per capita income of $500 or less, and/or suffering from chronic illnesses or disability.",http://4pm.org.sg/,Persatuan Persuratan Pemuda Pemudi Melayu (Malay Youth Literary Association)
4PM Remaja Resilien,"4PM Remaja Resilien is a program that caters to mainstream youths who would like to be engaged in meaningful activities. The programme focuses on building resiliency through the concept of Positive Youth Development (PYD). Positive Youth Development is an approach that provides youth with the broadest possible support, guidance and opportunities enabling them to attain desirable long term outcomes as well as provide the maximum impact during the time of rapid growth and change (adolescence).",Youths,http://www.4pm.org.sg/,Persatuan Persuratan Pemuda Pemudi Melayu (Malay Youth Literary Association)
365CPS Care & Support Team,"365 Cancer Prevention Society (365CPS) host community activities, home visitations, group tours, meal preparations and many other means to care for and help out those in need.",Patients with cancer,http://365cps.org.sg/,365CPS
365CPS Counselling,"An unhealthy emotional state does not only cause cancer, it also impedes a person’s recovery. If patients were in a depressed or low emotional state, they are welcome to make an appointment with 365 Cancer Prevention Society (365CPS) to walk with them and assist them.",Patients with cancer,http://365cps.org.sg/,365CPS
365CPS Financial Support,"Besides being a place where one can find emotional support and be educated on how to improve one’s health and immunity, 365 Cancer Prevention Society (365CPS) also provides financial aid to low-income patients to help meet their daily needs.",Low-income patients with cancer,http://365cps.org.sg/,365CPS
365CPS Healthtalks,Awareness and preparedness are the first steps towards protection against cancer.,365 Cancer Prevention Society (365CPS) corporate and community talks will equip you with important health-related information. Healthy employees are also more productive workers.,http://365cps.org.sg/,365CPS
@27 Family Service Centre, @27 Family Service Centre is Montfort Care’s second Family Service Centre. It was set up to meet the needs of the community in Telok Blangah. Services include: (i) Comprehensive Casework Management; (ii) Groupwork; and (iii) Information and Referral.,Low-income families and individuals facing difficult life situations,http://www.27fsc.org.sg/,@27 Family Service Centre
*SCAPE Youth Programmes,"*SCAPE Co. Ltd is a non-profit organisation with its mission and vision rooted in support of youth, talent and leadership development.",Youths,https://www.scape.sg/,*SCAPE Youth Programmes
A Kids' Nurture and Interact Club,"MCYC has launched A Kids' Nurture and Interact Club in July 2009 to provide opportunities for students from non-English homes to speak English and be exposed to good models of spoken English.  The students' character, social skills and talents are developed through activities such as games, sports and arts and crafts.",Children,,A Kids' Nurture and Interact Club
AAS Eden Activity Club,The Eden Activity Club (EAC) is a new service initiative from the Autism Association (Singapore). Its main mission is to provide social integration opportunities for adults with autism who are currently without any services. [Programme by Autism Association (Singapore)],Must be between 18 and 55 years old,http://www.autismlinks.org.sg/,AAS Eden Activity Club
ABLE Day Rehabilitation Programme,"Abilities Beyond Limitations And Expectations Limited (ABLE)'s Day Rehabilitation Programme provides a comprehensive range of rehabilitation services - Occupational Therapy, Physiotherapy, Speech and Language Therapy and Pilates - to persons with acquired physical disabilities, and those with neurological, orthopaedic, medical and surgical conditions.",Persons with physical limitations seeking rehabilitation services,https://able-sg.org/,319264
ABLE Respite Programmes and Services,"Abilities Beyond Limitations And Expectations Limited (ABLE) Respite programmes and services aim to support the critical role of family caregivers through a Family Centric approach.  Services includes: (1) Centre-based respite services, (2) Home-based respite services, (3) Family centric care planning.",Caregivers of persons with disabilities,https://able-sg.org/,"https://www.google.com/maps/place/Agape+Village/@1.339701,103.856683,16z/data=!4m5!3m4!1s0x0:0xfa87234a2cfa1fbb!8m2!3d1.3401033!4d103.8570643?hl=en-US"
ABLE Return-to-Work Programme,"Abilities Beyond Limitations And Expectations Limited (ABLE) Rehabilitation and Training Centre provides rehabilitation, training and employment assistance services for people with acquired physical disabilities to improve employability and return-to-work prospects.",Persons with physical limitations seeking rehabilitation and/or employment assistance services,https://able-sg.org/,319264
